session_id,session_timestamp,utm_campaign,utm_source,utm_medium,page_views,duration_seconds
S100078,2024-10-09 10:48:00,Product Launch 2024,organic,,9,446
S100079,2024-10-24 17:28:00,Lead Generation | DE | Form,,referral,8,275
S100080,2024-10-19 07:53:00,,linkedin,organic,8,254
S100081,2024-09-18 14:04:00,,linkedin,social,5,353
S100082,2024-09-21 17:05:00,Lead Generation | DE | Form,google,social,7,166
S100083,2024-10-16 06:04:00,Product Launch 2024,direct,email,9,487
S100084,2024-09-27 01:13:00,Product Launch 2024,direct,organic,1,599
S100085,2024-09-25 15:00:00,Retargeting Campaign,linkedin,referral,7,561
S100086,2024-10-18 23:34:00,Google Brand Campaign,google,referral,4,289
S100087,2024-09-28 15:01:00,Product Launch 2024,linkedin,,7,179
S100088,2024-10-24 14:58:00,Lead Generation | DE | Form,organic,organic,1,413
S100089,2024-10-08 18:42:00,Brand Awareness Q4,facebook,,7,148
S100090,2024-10-26 14:11:00,Brand Awareness Q4,linkedin,referral,6,226
S100091,2024-09-30 10:21:00,Product Launch 2024,linkedin,referral,5,93
S100092,2024-10-01 00:47:00,Google Brand Campaign,facebook,email,4,80
S100093,2024-10-20 20:02:00,Brand Awareness Q4,google,social,1,166
S100094,2024-09-16 04:30:00,,facebook,organic,4,486
S100095,2024-10-15 08:49:00,Retargeting Campaign,google,organic,10,127
S100096,2024-10-20 05:19:00,Brand Awareness Q4,organic,cpc,5,599
S100097,2024-10-14 12:25:00,,google,cpc,10,258
S100098,2024-09-07 22:49:00,Retargeting Campaign,,organic,2,589
S100099,2024-10-21 01:22:00,Google Brand Campaign,direct,,6,80
S100100,2024-10-03 20:21:00,Brand Awareness Q4,direct,referral,2,453
S100101,2024-09-24 20:57:00,Product Launch 2024,,social,7,190
S100102,2024-10-17 16:41:00,Retargeting Campaign,organic,organic,8,486
S100103,2024-09-28 23:37:00,Retargeting Campaign,linkedin,social,2,295
S100104,2024-10-27 14:15:00,Product Launch 2024,organic,organic,7,354
S100105,2024-09-02 15:54:00,Retargeting Campaign,google,referral,4,373
S100106,2024-10-22 08:21:00,Retargeting Campaign,organic,,5,579
S100107,2024-09-01 16:12:00,Brand Awareness Q4,google,,7,510
S100108,2024-10-06 07:44:00,Product Launch 2024,,,8,468
S100109,2024-10-21 00:05:00,Retargeting Campaign,google,referral,4,323
S100110,2024-10-13 18:23:00,Product Launch 2024,organic,organic,6,445
S100111,2024-10-18 17:21:00,Retargeting Campaign,,referral,5,323
S100112,2024-09-17 07:07:00,,google,email,2,558
S100113,2024-10-19 22:11:00,Lead Generation | DE | Form,google,,8,293
S100114,2024-10-17 18:48:00,Google Brand Campaign,organic,email,2,208
S100115,2024-09-19 07:23:00,Lead Generation | DE | Form,linkedin,cpc,9,139
S100116,2024-09-18 01:03:00,Google Brand Campaign,linkedin,,3,512
S100117,2024-09-07 00:36:00,Retargeting Campaign,direct,referral,8,358
S100118,2024-09-12 01:16:00,Product Launch 2024,facebook,cpc,7,513
S100119,2024-09-05 18:40:00,,facebook,social,3,586
S100120,2024-09-20 02:15:00,Brand Awareness Q4,organic,referral,10,241
S100121,2024-10-20 16:24:00,Product Launch 2024,direct,email,10,449
S100122,2024-09-20 18:39:00,Brand Awareness Q4,organic,,2,222
S100123,2024-10-11 06:16:00,,facebook,social,4,187
S100124,2024-10-06 02:10:00,Brand Awareness Q4,direct,referral,10,491
S100125,2024-09-19 01:14:00,Retargeting Campaign,,email,8,82
S100126,2024-10-14 07:59:00,Retargeting Campaign,,organic,4,445
S100127,2024-09-08 17:14:00,,google,email,3,83
S100128,2024-09-04 05:50:00,Retargeting Campaign,organic,,10,305
S100129,2024-09-29 03:29:00,,linkedin,,7,288
S100130,2024-10-03 17:31:00,Product Launch 2024,facebook,organic,1,452
S100131,2024-10-18 10:38:00,Retargeting Campaign,facebook,cpc,4,599
S100132,2024-10-08 00:48:00,,linkedin,organic,1,189
S100133,2024-10-01 16:41:00,Product Launch 2024,linkedin,social,10,456
S100134,2024-10-11 15:05:00,Product Launch 2024,linkedin,referral,6,338
S100135,2024-10-13 03:54:00,Lead Generation | DE | Form,linkedin,referral,8,305
S100136,2024-10-13 12:52:00,Google Brand Campaign,facebook,referral,2,332
S100137,2024-09-17 10:07:00,Product Launch 2024,organic,cpc,9,483
S100138,2024-09-27 01:12:00,Google Brand Campaign,linkedin,organic,8,462
S100139,2024-10-19 01:13:00,Retargeting Campaign,organic,social,5,458
S100140,2024-10-27 22:31:00,Brand Awareness Q4,facebook,,10,255
S100141,2024-10-16 05:19:00,Google Brand Campaign,facebook,organic,7,105
S100142,2024-09-15 03:29:00,Brand Awareness Q4,,social,8,308
S100143,2024-10-03 22:17:00,Product Launch 2024,direct,referral,4,477
S100144,2024-10-06 04:24:00,Lead Generation | DE | Form,organic,organic,3,81
S100145,2024-09-18 13:21:00,Google Brand Campaign,linkedin,cpc,5,315
S100146,2024-10-24 18:37:00,,direct,social,8,561
S100147,2024-10-01 11:21:00,Google Brand Campaign,organic,referral,8,339
S100148,2024-10-26 06:44:00,Lead Generation | DE | Form,organic,referral,4,430
S100149,2024-09-03 10:47:00,Product Launch 2024,,referral,7,165
S100150,2024-10-02 01:08:00,Google Brand Campaign,organic,email,2,460
S100151,2024-09-07 16:58:00,Product Launch 2024,facebook,,3,429
S100152,2024-10-26 20:09:00,Brand Awareness Q4,direct,email,6,417
S100153,2024-10-12 02:54:00,Retargeting Campaign,,organic,7,334
S100154,2024-10-11 22:56:00,Product Launch 2024,organic,cpc,10,80
S100155,2024-09-16 20:43:00,Retargeting Campaign,google,,2,454
S100156,2024-09-07 20:45:00,Brand Awareness Q4,direct,social,5,39
S100157,2024-09-03 10:50:00,Brand Awareness Q4,linkedin,email,6,451
S100158,2024-09-10 07:33:00,Product Launch 2024,organic,,3,184
S100159,2024-09-12 02:39:00,Product Launch 2024,organic,,4,519
S100160,2024-10-29 18:09:00,Lead Generation | DE | Form,direct,,5,480
S100161,2024-09-17 21:00:00,Product Launch 2024,linkedin,,9,171
S100162,2024-09-05 14:22:00,Google Brand Campaign,linkedin,,7,266
S100163,2024-09-30 09:12:00,Product Launch 2024,direct,cpc,4,400
S100164,2024-10-07 11:36:00,Retargeting Campaign,,email,1,415
S100165,2024-09-18 00:36:00,,,cpc,10,518
S100166,2024-10-24 09:49:00,Lead Generation | DE | Form,organic,email,4,204
S100167,2024-10-10 08:43:00,,,,3,109
S100168,2024-10-28 20:41:00,Brand Awareness Q4,linkedin,referral,1,383
S100169,2024-10-17 04:05:00,Retargeting Campaign,linkedin,,7,189
S100170,2024-09-13 04:50:00,Google Brand Campaign,linkedin,organic,9,289
S100171,2024-10-24 05:16:00,Product Launch 2024,linkedin,,6,127
S100172,2024-09-30 02:09:00,Lead Generation | DE | Form,,,7,580
S100173,2024-09-24 02:50:00,Product Launch 2024,facebook,email,9,136
S100174,2024-09-30 11:43:00,,,email,10,400
S100175,2024-10-23 20:23:00,Brand Awareness Q4,,social,8,35
S100176,2024-10-10 17:20:00,Google Brand Campaign,google,,2,485
S100177,2024-10-29 22:19:00,,direct,cpc,3,56
S100178,2024-09-03 09:31:00,Brand Awareness Q4,facebook,social,9,148
S100179,2024-09-25 14:23:00,,,,9,439
S100180,2024-10-08 23:46:00,Lead Generation | DE | Form,direct,,2,511
S100181,2024-10-10 13:17:00,Brand Awareness Q4,,email,4,464
S100182,2024-09-29 07:54:00,Retargeting Campaign,facebook,,6,567
S100183,2024-10-28 20:22:00,Brand Awareness Q4,direct,email,4,135
S100184,2024-10-25 14:05:00,,google,,10,31
S100185,2024-09-04 10:15:00,Lead Generation | DE | Form,organic,social,2,577
S100186,2024-09-14 18:13:00,Lead Generation | DE | Form,linkedin,social,10,12
S100187,2024-09-18 04:08:00,Google Brand Campaign,linkedin,social,2,36
S100188,2024-09-09 00:22:00,Lead Generation | DE | Form,organic,email,1,188
S100189,2024-09-17 01:08:00,,direct,organic,2,75
S100190,2024-10-01 14:49:00,Retargeting Campaign,organic,organic,2,472
S100191,2024-10-03 07:39:00,Brand Awareness Q4,,,9,318
S100192,2024-09-30 20:01:00,Brand Awareness Q4,direct,referral,7,120
S100193,2024-10-02 22:58:00,Product Launch 2024,facebook,cpc,6,161
S100194,2024-09-05 04:17:00,Google Brand Campaign,,organic,9,342
S100195,2024-09-25 19:33:00,Retargeting Campaign,direct,organic,10,450
S100196,2024-09-07 22:07:00,,,organic,4,450
S100197,2024-09-29 07:26:00,Retargeting Campaign,direct,referral,7,107
S100198,2024-09-21 13:20:00,,linkedin,email,3,495
S100199,2024-09-05 02:53:00,Brand Awareness Q4,facebook,referral,2,391
S100200,2024-10-22 04:35:00,Brand Awareness Q4,organic,organic,9,347
S100201,2024-10-13 03:26:00,Retargeting Campaign,,referral,1,304
S100202,2024-10-09 09:22:00,Brand Awareness Q4,organic,organic,4,168
S100203,2024-10-13 15:14:00,Brand Awareness Q4,linkedin,organic,6,127
S100204,2024-10-19 08:36:00,Lead Generation | DE | Form,direct,organic,10,580
S100205,2024-09-02 19:59:00,,,email,1,194
S100206,2024-09-18 22:48:00,Retargeting Campaign,linkedin,email,1,195
S100207,2024-10-26 04:36:00,,direct,cpc,3,41
S100208,2024-09-06 23:33:00,Lead Generation | DE | Form,direct,referral,8,359
S100209,2024-09-11 11:19:00,,linkedin,organic,10,96
S100210,2024-10-27 01:09:00,Lead Generation | DE | Form,organic,cpc,2,288
S100211,2024-09-29 21:27:00,Product Launch 2024,organic,referral,7,289
S100212,2024-09-14 16:07:00,Retargeting Campaign,direct,cpc,5,508
S100213,2024-10-04 21:19:00,Brand Awareness Q4,google,referral,10,66
S100214,2024-09-01 06:19:00,Lead Generation | DE | Form,google,email,5,345
S100215,2024-09-08 00:31:00,,direct,social,3,399
S100216,2024-10-05 22:14:00,Google Brand Campaign,organic,,6,83
S100217,2024-09-26 23:02:00,Product Launch 2024,facebook,referral,2,330
S100218,2024-10-07 13:36:00,Product Launch 2024,,,7,306
S100219,2024-09-08 12:01:00,Retargeting Campaign,google,organic,8,380
S100220,2024-09-06 13:54:00,Brand Awareness Q4,google,referral,10,420
S100221,2024-10-04 02:25:00,Retargeting Campaign,,email,4,351
S100222,2024-10-20 05:04:00,Google Brand Campaign,,cpc,9,532
S100223,2024-09-13 11:22:00,,,social,4,115
S100224,2024-09-10 08:12:00,Lead Generation | DE | Form,organic,social,2,191
S100225,2024-10-20 20:31:00,Product Launch 2024,organic,organic,8,588
S100226,2024-10-12 20:39:00,Retargeting Campaign,,email,3,460
S100227,2024-09-05 15:28:00,,linkedin,email,10,67
S100228,2024-09-23 16:04:00,Retargeting Campaign,direct,referral,1,68
S100229,2024-09-24 09:04:00,,facebook,organic,10,529
S100230,2024-09-25 14:37:00,Google Brand Campaign,,cpc,8,595
S100231,2024-10-12 06:20:00,Google Brand Campaign,direct,organic,3,73
S100232,2024-09-29 03:51:00,Retargeting Campaign,,cpc,9,186
S100233,2024-09-03 07:45:00,Product Launch 2024,direct,organic,9,172
S100234,2024-09-24 11:58:00,Retargeting Campaign,direct,referral,6,63
S100235,2024-10-21 20:41:00,Retargeting Campaign,facebook,email,2,581
S100236,2024-10-14 12:18:00,Retargeting Campaign,,,10,163
S100237,2024-09-22 02:37:00,,google,email,5,411
S100238,2024-09-09 19:45:00,Brand Awareness Q4,linkedin,organic,7,346
S100239,2024-10-23 04:42:00,,,,9,105
S100240,2024-10-12 21:27:00,Google Brand Campaign,linkedin,cpc,6,326
S100241,2024-09-12 06:21:00,Product Launch 2024,google,social,3,168
S100242,2024-09-05 09:54:00,Brand Awareness Q4,organic,organic,9,48
S100243,2024-10-13 10:56:00,Google Brand Campaign,google,organic,7,167
S100244,2024-09-11 05:53:00,,organic,social,8,54
S100245,2024-09-27 11:43:00,,google,referral,10,301
S100246,2024-10-19 23:50:00,Product Launch 2024,google,organic,4,326
S100247,2024-10-22 15:57:00,Lead Generation | DE | Form,linkedin,,10,461
S100248,2024-09-30 09:49:00,Product Launch 2024,organic,organic,7,175
S100249,2024-10-23 06:51:00,Google Brand Campaign,google,email,1,502
S100250,2024-10-26 11:35:00,Brand Awareness Q4,,organic,2,301
S100251,2024-09-06 05:17:00,Product Launch 2024,organic,social,7,103
S100252,2024-10-29 07:52:00,Product Launch 2024,linkedin,cpc,7,64
S100253,2024-09-26 16:23:00,Lead Generation | DE | Form,direct,cpc,6,239
S100254,2024-09-02 10:59:00,Brand Awareness Q4,,,6,159
S100255,2024-09-09 01:18:00,Product Launch 2024,,social,8,469
S100256,2024-10-10 00:57:00,Brand Awareness Q4,facebook,email,4,163
S100257,2024-10-06 23:38:00,Google Brand Campaign,direct,cpc,5,253
S100258,2024-09-20 03:03:00,Lead Generation | DE | Form,direct,,10,478
S100259,2024-09-05 03:53:00,Product Launch 2024,organic,organic,1,537
S100260,2024-10-07 07:45:00,Lead Generation | DE | Form,linkedin,referral,1,371
S100261,2024-09-16 18:26:00,Lead Generation | DE | Form,,,2,546
S100262,2024-09-24 02:33:00,Google Brand Campaign,organic,organic,9,30
S100263,2024-09-25 15:02:00,,direct,email,5,26
S100264,2024-09-23 02:22:00,Lead Generation | DE | Form,,,2,350
S100265,2024-09-09 01:22:00,Google Brand Campaign,linkedin,,3,485
S100266,2024-10-15 15:40:00,Lead Generation | DE | Form,google,cpc,8,47
S100267,2024-09-19 06:02:00,Lead Generation | DE | Form,facebook,email,5,537
S100268,2024-09-26 17:30:00,Retargeting Campaign,facebook,,4,302
S100269,2024-09-23 01:55:00,,linkedin,email,2,386
S100270,2024-09-28 12:47:00,Product Launch 2024,direct,email,3,518
S100271,2024-10-15 15:23:00,Google Brand Campaign,linkedin,cpc,7,90
S100272,2024-09-28 19:52:00,Lead Generation | DE | Form,organic,email,6,115
S100273,2024-09-06 10:42:00,Retargeting Campaign,linkedin,referral,10,446
S100274,2024-09-11 22:28:00,Retargeting Campaign,direct,cpc,6,455
S100275,2024-09-18 20:50:00,Brand Awareness Q4,facebook,,7,382
S100276,2024-10-03 23:43:00,Lead Generation | DE | Form,facebook,social,10,458
S100277,2024-09-03 04:04:00,Lead Generation | DE | Form,,email,6,402
S100278,2024-10-07 01:38:00,Lead Generation | DE | Form,,referral,6,390
S100279,2024-09-29 02:36:00,Lead Generation | DE | Form,organic,email,7,331
S100280,2024-10-12 08:15:00,Brand Awareness Q4,facebook,,3,521
S100281,2024-10-04 12:58:00,Google Brand Campaign,facebook,email,5,466
S100282,2024-09-14 19:18:00,,direct,social,2,148
S100283,2024-10-25 02:28:00,Lead Generation | DE | Form,,referral,2,337
S100284,2024-10-13 11:45:00,Brand Awareness Q4,organic,organic,5,317
S100285,2024-10-25 05:45:00,,,,3,380
S100286,2024-10-03 07:07:00,Lead Generation | DE | Form,google,social,8,36
S100287,2024-09-24 17:36:00,Retargeting Campaign,direct,organic,3,98
S100288,2024-09-05 09:25:00,,,referral,9,430
S100289,2024-10-20 13:52:00,Google Brand Campaign,facebook,social,6,85
S100290,2024-09-29 14:43:00,Google Brand Campaign,linkedin,social,9,196
S100291,2024-10-20 04:27:00,Google Brand Campaign,facebook,cpc,9,166
S100292,2024-09-20 05:10:00,Retargeting Campaign,,social,6,541
S100293,2024-10-28 09:54:00,Brand Awareness Q4,linkedin,social,9,291
S100294,2024-09-09 20:19:00,Google Brand Campaign,organic,cpc,9,182
S100295,2024-10-08 18:09:00,Lead Generation | DE | Form,,organic,10,355
S100296,2024-10-24 18:02:00,Brand Awareness Q4,facebook,cpc,10,281
S100297,2024-10-12 06:49:00,Google Brand Campaign,direct,organic,1,519
S100298,2024-10-27 20:34:00,Retargeting Campaign,,email,8,260
S100299,2024-10-22 21:25:00,Retargeting Campaign,direct,cpc,1,171
S100300,2024-09-29 13:30:00,Product Launch 2024,google,email,10,157
S100301,2024-09-21 22:20:00,,linkedin,referral,3,389
S100302,2024-10-03 17:06:00,Retargeting Campaign,google,referral,2,283
S100303,2024-09-29 07:09:00,Brand Awareness Q4,facebook,email,7,438
S100304,2024-09-16 05:52:00,Retargeting Campaign,organic,,6,204
S100305,2024-10-19 05:31:00,Google Brand Campaign,direct,referral,5,519
S100306,2024-09-02 02:25:00,Google Brand Campaign,direct,social,4,371
S100307,2024-09-04 01:18:00,Product Launch 2024,organic,,8,302
S100308,2024-10-05 00:54:00,Brand Awareness Q4,direct,social,5,384
S100309,2024-10-19 12:23:00,Brand Awareness Q4,direct,cpc,10,585
S100310,2024-09-13 11:35:00,Retargeting Campaign,facebook,referral,9,471
S100311,2024-10-19 17:17:00,Google Brand Campaign,,organic,2,141
S100312,2024-09-07 12:23:00,Retargeting Campaign,organic,email,3,213
S100313,2024-10-09 16:25:00,Google Brand Campaign,facebook,cpc,1,150
S100314,2024-10-16 10:51:00,Product Launch 2024,organic,referral,3,537
S100315,2024-09-09 10:59:00,Google Brand Campaign,linkedin,social,7,316
S100316,2024-10-08 10:32:00,Google Brand Campaign,organic,referral,10,316
S100317,2024-10-01 00:23:00,Retargeting Campaign,,cpc,7,325
S100318,2024-10-21 23:55:00,,,cpc,10,495
S100319,2024-09-17 20:50:00,Google Brand Campaign,organic,social,1,501
S100320,2024-09-11 16:40:00,,organic,referral,3,258
S100321,2024-09-03 18:44:00,Brand Awareness Q4,google,cpc,8,331
S100322,2024-09-27 04:26:00,,google,referral,9,492
S100323,2024-10-26 23:46:00,Brand Awareness Q4,,social,9,222
S100324,2024-10-06 10:42:00,Product Launch 2024,organic,referral,6,187
S100325,2024-09-30 17:21:00,Google Brand Campaign,linkedin,,5,505
S100326,2024-09-13 07:17:00,Google Brand Campaign,linkedin,social,5,305
S100327,2024-10-16 06:44:00,,direct,email,8,367
S100328,2024-10-06 23:17:00,Retargeting Campaign,facebook,organic,9,398
S100329,2024-10-28 12:52:00,Retargeting Campaign,google,email,1,304
S100330,2024-10-16 02:22:00,Product Launch 2024,,email,8,229
S100331,2024-09-13 17:17:00,Google Brand Campaign,,email,3,121
S100332,2024-10-10 23:37:00,Lead Generation | DE | Form,google,cpc,9,241
S100333,2024-10-11 07:03:00,Brand Awareness Q4,direct,email,8,112
S100334,2024-10-14 04:00:00,Google Brand Campaign,google,referral,8,498
S100335,2024-10-12 06:48:00,Retargeting Campaign,linkedin,email,1,101
S100336,2024-10-12 18:14:00,Google Brand Campaign,,,1,189
S100337,2024-09-27 05:59:00,Brand Awareness Q4,direct,referral,3,306
S100338,2024-10-27 01:00:00,Retargeting Campaign,organic,organic,2,353
S100339,2024-09-19 14:41:00,Google Brand Campaign,organic,referral,3,526
S100340,2024-09-30 08:12:00,Brand Awareness Q4,linkedin,social,8,273
S100341,2024-10-16 05:00:00,,linkedin,email,10,207
S100342,2024-09-12 19:54:00,,direct,referral,9,345
S100343,2024-09-06 12:42:00,Brand Awareness Q4,google,social,8,341
S100344,2024-10-30 07:00:00,Retargeting Campaign,direct,social,8,283
S100345,2024-09-22 09:37:00,,organic,cpc,5,378
S100346,2024-10-15 07:03:00,,facebook,referral,5,173
S100347,2024-09-26 21:32:00,,linkedin,,2,312
S100348,2024-09-24 19:14:00,Lead Generation | DE | Form,google,referral,3,475
S100349,2024-10-18 19:23:00,Product Launch 2024,,organic,8,560
S100350,2024-10-22 21:52:00,Lead Generation | DE | Form,google,,10,93
S100351,2024-10-04 14:33:00,,linkedin,cpc,10,124
S100352,2024-09-04 17:57:00,Google Brand Campaign,google,organic,9,163
S100353,2024-09-11 10:54:00,Google Brand Campaign,direct,cpc,4,510
S100354,2024-09-06 16:28:00,Brand Awareness Q4,direct,social,9,435
S100355,2024-09-30 18:03:00,Google Brand Campaign,direct,,5,32
S100356,2024-09-26 08:52:00,Brand Awareness Q4,,social,10,84
S100357,2024-09-03 13:22:00,,facebook,organic,1,80
S100358,2024-10-30 15:02:00,Retargeting Campaign,direct,social,3,440
S100359,2024-09-24 12:28:00,Product Launch 2024,direct,cpc,9,146
S100360,2024-10-12 11:07:00,Lead Generation | DE | Form,organic,referral,9,140
S100361,2024-10-17 07:53:00,Brand Awareness Q4,facebook,email,8,567
S100362,2024-09-28 17:24:00,Lead Generation | DE | Form,google,referral,6,168
S100363,2024-09-18 06:59:00,,facebook,cpc,7,26
S100364,2024-09-16 06:04:00,Brand Awareness Q4,organic,cpc,8,59
S100365,2024-09-16 23:02:00,Product Launch 2024,direct,social,9,232
S100366,2024-10-19 01:08:00,Google Brand Campaign,linkedin,social,10,336
S100367,2024-10-07 19:49:00,,linkedin,social,5,156
S100368,2024-10-13 16:14:00,Product Launch 2024,linkedin,email,1,580
S100369,2024-10-08 23:58:00,Lead Generation | DE | Form,,,7,579
S100370,2024-10-02 01:22:00,,,referral,9,336
S100371,2024-10-15 13:26:00,Lead Generation | DE | Form,linkedin,referral,3,560
S100372,2024-10-01 07:54:00,Lead Generation | DE | Form,linkedin,,3,484
S100373,2024-10-29 01:35:00,Product Launch 2024,direct,organic,9,147
S100374,2024-09-25 07:16:00,Lead Generation | DE | Form,linkedin,,2,470
S100375,2024-10-25 11:05:00,Google Brand Campaign,,social,1,284
S100376,2024-09-25 21:38:00,Google Brand Campaign,facebook,cpc,4,582
S100377,2024-09-14 15:13:00,Retargeting Campaign,linkedin,cpc,4,204
S100378,2024-10-18 03:47:00,Product Launch 2024,google,,10,219
S100379,2024-09-26 07:35:00,Retargeting Campaign,linkedin,referral,8,556
S100380,2024-10-12 11:19:00,Retargeting Campaign,linkedin,organic,8,487
S100381,2024-09-07 23:30:00,Retargeting Campaign,google,email,6,433
S100382,2024-09-03 18:55:00,Lead Generation | DE | Form,,social,1,277
S100383,2024-10-06 18:37:00,,direct,email,3,210
S100384,2024-09-22 07:24:00,Google Brand Campaign,google,referral,9,355
S100385,2024-09-17 15:46:00,,,referral,8,182
S100386,2024-10-17 11:10:00,Lead Generation | DE | Form,,organic,8,198
S100387,2024-10-29 17:41:00,Brand Awareness Q4,organic,cpc,2,59
S100388,2024-10-19 00:26:00,Lead Generation | DE | Form,,social,2,164
S100389,2024-09-01 06:32:00,Product Launch 2024,linkedin,cpc,10,504
S100390,2024-10-13 15:01:00,Brand Awareness Q4,organic,organic,7,22
S100391,2024-09-02 16:46:00,Retargeting Campaign,organic,email,1,524
S100392,2024-10-23 22:43:00,Product Launch 2024,google,cpc,2,546
