ad_id,ad_name,ad_set_id,campaign_id,account_id,_fivetran_synced
3031,Ad Creative 3,2010,1004,101,2024-10-30 12:00:00
3032,Ad Creative 1,2011,1004,101,2024-10-30 12:00:00
3033,Ad Creative 2,2011,1004,101,2024-10-30 12:00:00
3034,Ad Creative 3,2011,1004,101,2024-10-30 12:00:00
3035,Ad Creative 1,2012,1005,102,2024-10-30 12:00:00
3036,Ad Creative 2,2012,1005,102,2024-10-30 12:00:00
3037,Ad Creative 3,2012,1005,102,2024-10-30 12:00:00
3038,Ad Creative 4,2012,1005,102,2024-10-30 12:00:00
3039,Ad Creative 1,2013,1005,102,2024-10-30 12:00:00
3040,Ad Creative 2,2013,1005,102,2024-10-30 12:00:00
3041,Ad Creative 3,2013,1005,102,2024-10-30 12:00:00
3042,Ad Creative 4,2013,1005,102,2024-10-30 12:00:00
3043,Ad Creative 1,2014,1006,102,2024-10-30 12:00:00
3044,Ad Creative 2,2014,1006,102,2024-10-30 12:00:00
3045,Ad Creative 1,2015,1006,102,2024-10-30 12:00:00
3046,Ad Creative 2,2015,1006,102,2024-10-30 12:00:00
3047,Ad Creative 3,2015,1006,102,2024-10-30 12:00:00
3048,Ad Creative 1,2016,1006,102,2024-10-30 12:00:00
3049,Ad Creative 2,2016,1006,102,2024-10-30 12:00:00
3050,Ad Creative 1,2017,1007,102,2024-10-30 12:00:00
3051,Ad Creative 2,2017,1007,102,2024-10-30 12:00:00
3052,Ad Creative 1,2018,1007,102,2024-10-30 12:00:00
3053,Ad Creative 2,2018,1007,102,2024-10-30 12:00:00
3054,Ad Creative 1,2019,1007,102,2024-10-30 12:00:00
3055,Ad Creative 2,2019,1007,102,2024-10-30 12:00:00
3056,Ad Creative 1,2020,1008,102,2024-10-30 12:00:00
3057,Ad Creative 2,2020,1008,102,2024-10-30 12:00:00
3058,Ad Creative 3,2020,1008,102,2024-10-30 12:00:00
3059,Ad Creative 4,2020,1008,102,2024-10-30 12:00:00
3060,Ad Creative 1,2021,1008,102,2024-10-30 12:00:00
3061,Ad Creative 2,2021,1008,102,2024-10-30 12:00:00
3062,Ad Creative 3,2021,1008,102,2024-10-30 12:00:00
3063,Ad Creative 4,2021,1008,102,2024-10-30 12:00:00
3064,Ad Creative 1,2022,1009,103,2024-10-30 12:00:00
3065,Ad Creative 2,2022,1009,103,2024-10-30 12:00:00
3066,Ad Creative 3,2022,1009,103,2024-10-30 12:00:00
3067,Ad Creative 1,2023,1009,103,2024-10-30 12:00:00
3068,Ad Creative 2,2023,1009,103,2024-10-30 12:00:00
3069,Ad Creative 3,2023,1009,103,2024-10-30 12:00:00
3070,Ad Creative 1,2024,1009,103,2024-10-30 12:00:00
3071,Ad Creative 2,2024,1009,103,2024-10-30 12:00:00
3072,Ad Creative 3,2024,1009,103,2024-10-30 12:00:00
3073,Ad Creative 4,2024,1009,103,2024-10-30 12:00:00
3074,Ad Creative 1,2025,1010,103,2024-10-30 12:00:00
3075,Ad Creative 2,2025,1010,103,2024-10-30 12:00:00
3076,Ad Creative 3,2025,1010,103,2024-10-30 12:00:00
3077,Ad Creative 1,2026,1010,103,2024-10-30 12:00:00
3078,Ad Creative 2,2026,1010,103,2024-10-30 12:00:00
3079,Ad Creative 3,2026,1010,103,2024-10-30 12:00:00
3080,Ad Creative 4,2026,1010,103,2024-10-30 12:00:00
3081,Ad Creative 1,2027,1010,103,2024-10-30 12:00:00
3082,Ad Creative 2,2027,1010,103,2024-10-30 12:00:00
3083,Ad Creative 3,2027,1010,103,2024-10-30 12:00:00
3084,Ad Creative 4,2027,1010,103,2024-10-30 12:00:00
3085,Ad Creative 1,2028,1011,103,2024-10-30 12:00:00
3086,Ad Creative 2,2028,1011,103,2024-10-30 12:00:00
3087,Ad Creative 3,2028,1011,103,2024-10-30 12:00:00
3088,Ad Creative 1,2029,1011,103,2024-10-30 12:00:00
3089,Ad Creative 2,2029,1011,103,2024-10-30 12:00:00
3090,Ad Creative 3,2029,1011,103,2024-10-30 12:00:00
3091,Ad Creative 1,2030,1011,103,2024-10-30 12:00:00
3092,Ad Creative 2,2030,1011,103,2024-10-30 12:00:00
3093,Ad Creative 3,2030,1011,103,2024-10-30 12:00:00
3094,Ad Creative 4,2030,1011,103,2024-10-30 12:00:00
3095,Ad Creative 1,2031,1012,103,2024-10-30 12:00:00
3096,Ad Creative 2,2031,1012,103,2024-10-30 12:00:00
3097,Ad Creative 3,2031,1012,103,2024-10-30 12:00:00
3098,Ad Creative 4,2031,1012,103,2024-10-30 12:00:00
3099,Ad Creative 1,2032,1012,103,2024-10-30 12:00:00
3100,Ad Creative 2,2032,1012,103,2024-10-30 12:00:00
3101,Ad Creative 3,2032,1012,103,2024-10-30 12:00:00
3102,Ad Creative 4,2032,1012,103,2024-10-30 12:00:00
3103,Ad Creative 1,2033,1012,103,2024-10-30 12:00:00
3104,Ad Creative 2,2033,1012,103,2024-10-30 12:00:00
3105,Ad Creative 3,2033,1012,103,2024-10-30 12:00:00
3106,Ad Creative 4,2033,1012,103,2024-10-30 12:00:00
