campaign_id,campaign_name,date,cost_micros,clicks,impressions
5003,Google Display Retargeting,2024-09-06,350372786,181,15470
5003,Google Display Retargeting,2024-09-07,353761947,145,8729
5003,Google Display Retargeting,2024-09-08,383679007,694,17963
5003,Google Display Retargeting,2024-09-09,584460245,441,19948
5003,Google Display Retargeting,2024-09-10,636734079,370,19225
5003,Google Display Retargeting,2024-09-11,100346058,409,13893
5003,Google Display Retargeting,2024-09-12,672657956,144,14611
5003,Google Display Retargeting,2024-09-13,571146233,322,18823
5003,Google Display Retargeting,2024-09-14,199567689,452,11340
5003,Google Display Retargeting,2024-09-15,466044145,396,7657
5003,Google Display Retargeting,2024-09-16,588567730,708,17770
5003,Google Display Retargeting,2024-09-17,486416739,693,16765
5003,Google Display Retargeting,2024-09-18,612517387,523,18630
5003,Google Display Retargeting,2024-09-19,215430014,152,12931
5003,Google Display Retargeting,2024-09-21,521126592,414,19436
5003,Google Display Retargeting,2024-09-22,411309968,789,17176
5003,Google Display Retargeting,2024-09-23,466597469,572,7455
5003,Google Display Retargeting,2024-09-24,589536918,255,7726
5003,Google Display Retargeting,2024-09-25,719135866,315,9850
5003,Google Display Retargeting,2024-09-26,388152727,796,5405
5003,Google Display Retargeting,2024-09-27,722738059,110,14975
5003,Google Display Retargeting,2024-09-28,508264108,641,19061
5003,Google Display Retargeting,2024-09-29,547602549,111,18809
5003,Google Display Retargeting,2024-09-30,733650216,711,7981
5003,Google Display Retargeting,2024-10-03,537789903,169,8579
5003,Google Display Retargeting,2024-10-04,539984049,661,12804
5003,Google Display Retargeting,2024-10-05,575516555,551,19587
5003,Google Display Retargeting,2024-10-06,740104092,483,12674
5003,Google Display Retargeting,2024-10-07,320246575,683,14256
5003,Google Display Retargeting,2024-10-08,536226836,247,11164
5003,Google Display Retargeting,2024-10-09,602979173,703,8010
5003,Google Display Retargeting,2024-10-10,576783515,171,15978
5003,Google Display Retargeting,2024-10-11,159242764,548,17440
5003,Google Display Retargeting,2024-10-12,483959761,226,7130
5003,Google Display Retargeting,2024-10-13,550373476,276,8070
5003,Google Display Retargeting,2024-10-14,134877309,516,13841
5003,Google Display Retargeting,2024-10-16,280308280,394,8304
5003,Google Display Retargeting,2024-10-17,306794474,800,17719
5003,Google Display Retargeting,2024-10-18,253649806,320,15105
5003,Google Display Retargeting,2024-10-19,346730025,358,9586
5003,Google Display Retargeting,2024-10-20,530716033,128,18672
5003,Google Display Retargeting,2024-10-21,505708913,679,9236
5003,Google Display Retargeting,2024-10-22,102476175,508,15026
5003,Google Display Retargeting,2024-10-23,240139137,295,10587
5003,Google Display Retargeting,2024-10-24,520678942,430,17755
5003,Google Display Retargeting,2024-10-25,428050217,192,7237
5003,Google Display Retargeting,2024-10-26,360318076,593,16721
5003,Google Display Retargeting,2024-10-27,135440208,491,19114
5003,Google Display Retargeting,2024-10-29,696663828,444,9706
5003,Google Display Retargeting,2024-10-30,465762323,351,6747
5004,Google Video Awareness,2024-09-01,331683299,532,5392
5004,Google Video Awareness,2024-09-03,736579301,138,6790
5004,Google Video Awareness,2024-09-04,405511316,527,17005
5004,Google Video Awareness,2024-09-05,153746317,321,14828
5004,Google Video Awareness,2024-09-06,651306567,637,13205
5004,Google Video Awareness,2024-09-07,677616179,708,8393
5004,Google Video Awareness,2024-09-08,519552977,772,6877
5004,Google Video Awareness,2024-09-09,360997634,668,13568
5004,Google Video Awareness,2024-09-10,645735907,584,16595
5004,Google Video Awareness,2024-09-11,478294643,190,13641
5004,Google Video Awareness,2024-09-12,479268303,530,14762
5004,Google Video Awareness,2024-09-13,476365139,742,5576
5004,Google Video Awareness,2024-09-14,509964781,442,11557
5004,Google Video Awareness,2024-09-15,675850774,264,11229
5004,Google Video Awareness,2024-09-16,662646520,135,5197
5004,Google Video Awareness,2024-09-17,267592202,599,7565
5004,Google Video Awareness,2024-09-18,785389310,667,6839
5004,Google Video Awareness,2024-09-19,411796516,558,7528
5004,Google Video Awareness,2024-09-20,591882626,315,10762
5004,Google Video Awareness,2024-09-21,119050984,577,13450
5004,Google Video Awareness,2024-09-22,130900475,646,8636
5004,Google Video Awareness,2024-09-23,529864260,718,12265
5004,Google Video Awareness,2024-09-25,742543251,698,15302
5004,Google Video Awareness,2024-09-27,788851806,361,10679
5004,Google Video Awareness,2024-09-29,319493822,521,12560
5004,Google Video Awareness,2024-09-30,379400832,496,12877
5004,Google Video Awareness,2024-10-01,137923057,545,11208
5004,Google Video Awareness,2024-10-02,548669800,560,11104
5004,Google Video Awareness,2024-10-03,702569666,445,17498
5004,Google Video Awareness,2024-10-04,208422428,186,11962
5004,Google Video Awareness,2024-10-05,562897965,146,10752
5004,Google Video Awareness,2024-10-06,492391386,511,8395
5004,Google Video Awareness,2024-10-08,195997703,615,5799
5004,Google Video Awareness,2024-10-10,324958653,702,7401
5004,Google Video Awareness,2024-10-11,134759617,237,10726
5004,Google Video Awareness,2024-10-12,471623279,538,10427
5004,Google Video Awareness,2024-10-13,329703521,345,17624
5004,Google Video Awareness,2024-10-14,611979033,593,18018
5004,Google Video Awareness,2024-10-15,314815879,201,11201
5004,Google Video Awareness,2024-10-16,698299152,592,6773
5004,Google Video Awareness,2024-10-17,272752469,525,6765
5004,Google Video Awareness,2024-10-18,687880005,592,16031
5004,Google Video Awareness,2024-10-19,211128437,247,9302
5004,Google Video Awareness,2024-10-20,248708633,483,18403
5004,Google Video Awareness,2024-10-21,444939454,124,15783
5004,Google Video Awareness,2024-10-22,467328707,402,14664
5004,Google Video Awareness,2024-10-24,139167974,781,14233
5004,Google Video Awareness,2024-10-25,691160888,313,14306
5004,Google Video Awareness,2024-10-26,531066098,746,12507
5004,Google Video Awareness,2024-10-27,647610368,589,7213
5004,Google Video Awareness,2024-10-28,204578928,501,8515
5004,Google Video Awareness,2024-10-29,402900907,354,13620
5004,Google Video Awareness,2024-10-30,163822119,128,5490
