opportunity_id,lead_id,account_id,opportunity_created_at,stage_name,amount,close_date
O20060,L10457,A47,2024-10-07 01:00:00,Proposal Sent,48879.45,2025-01-28 01:00:00
O20061,L10827,A61,2024-11-16 01:00:00,Proposal Sent,32986.24,2025-01-05 01:00:00
O20062,L10724,A6,2024-11-10 06:00:00,Proposal Sent,46863.88,2025-02-23 06:00:00
O20063,L10690,A14,2024-10-28 18:00:00,Closed Won,14516.58,2025-01-06 18:00:00
O20064,L10097,A92,2024-11-14 09:00:00,Closed Lost,27868.2,2025-02-26 09:00:00
O20065,L10679,A45,2024-10-26 15:00:00,Demo Scheduled,22047.79,2025-02-07 15:00:00
O20066,L10209,A85,2024-09-20 15:00:00,Closed Lost,11753.36,2025-01-11 15:00:00
O20067,L10441,A10,2024-09-15 22:00:00,Demo Scheduled,30443.11,2024-12-27 22:00:00
O20068,L10378,A71,2024-10-18 18:00:00,Closed Lost,23813.61,2024-12-02 18:00:00
O20069,L10465,A68,2024-10-21 11:00:00,Qualified,32319.59,2025-02-12 11:00:00
O20070,L10426,A67,2024-11-04 11:00:00,Negotiation,19262.27,2024-12-28 11:00:00
O20071,L10751,A74,2024-10-05 23:00:00,Proposal Sent,45998.13,2024-12-16 23:00:00
O20072,L10050,A99,2024-10-23 18:00:00,Proposal Sent,15390.08,2025-01-01 18:00:00
O20073,L10363,A15,2024-11-01 23:00:00,Closed Lost,15847.09,2025-01-22 23:00:00
O20074,L10245,A11,2024-10-10 22:00:00,Proposal Sent,30220.57,2024-11-18 22:00:00
O20075,L10079,A84,2024-09-30 17:00:00,Negotiation,32234.84,2024-12-26 17:00:00
O20076,L10786,A54,2024-10-22 04:00:00,Demo Scheduled,30620.4,2024-12-07 04:00:00
O20077,L10205,A32,2024-09-25 07:00:00,Negotiation,35334.73,2025-01-18 07:00:00
O20078,L10826,A78,2024-11-08 03:00:00,Proposal Sent,40813.52,2025-01-20 03:00:00
O20079,L10034,A16,2024-10-14 19:00:00,Qualified,23382.63,2025-01-16 19:00:00
O20080,L10032,A74,2024-10-17 18:00:00,Negotiation,33468.34,2024-12-11 18:00:00
O20081,L10811,A59,2024-09-28 21:00:00,Qualified,12504.69,2024-12-20 21:00:00
O20082,L10536,A98,2024-09-20 11:00:00,Closed Won,37012.18,2024-12-19 11:00:00
O20083,L10617,A13,2024-11-17 07:00:00,Demo Scheduled,44125.65,2025-02-10 07:00:00
O20084,L10213,A89,2024-09-07 09:00:00,Demo Scheduled,49547.01,2024-10-23 09:00:00
O20085,L10219,A68,2024-09-29 00:00:00,Negotiation,45691.72,2024-12-13 00:00:00
O20086,L10448,A52,2024-09-29 23:00:00,Closed Lost,30062.34,2024-12-05 23:00:00
O20087,L10212,A44,2024-10-14 20:00:00,Proposal Sent,31616.51,2025-01-30 20:00:00
O20088,L10073,A93,2024-10-31 15:00:00,Qualified,8318.86,2025-01-14 15:00:00
O20089,L10078,A53,2024-10-29 02:00:00,Closed Lost,25238.92,2025-01-22 02:00:00
O20090,L10121,A97,2024-09-28 20:00:00,Negotiation,36505.12,2024-11-20 20:00:00
O20091,L10529,A99,2024-11-25 13:00:00,Closed Won,46235.38,2025-02-28 13:00:00
O20092,L10301,A20,2024-09-11 09:00:00,Qualified,31709.9,2024-11-27 09:00:00
O20093,L10366,A84,2024-11-21 10:00:00,Negotiation,22071.86,2025-02-15 10:00:00
O20094,L10156,A66,2024-11-03 12:00:00,Closed Lost,31463.64,2024-12-15 12:00:00
O20095,L10292,A39,2024-10-15 23:00:00,Negotiation,20350.27,2025-01-25 23:00:00
O20096,L10413,A68,2024-11-04 19:00:00,Closed Won,27870.26,2025-01-27 19:00:00
O20097,L10356,A42,2024-10-26 19:00:00,Negotiation,19336.02,2024-12-17 19:00:00
O20098,L10267,A6,2024-09-21 23:00:00,Closed Lost,44707.29,2024-11-16 23:00:00
O20099,L10528,A67,2024-10-19 15:00:00,Proposal Sent,30881.2,2025-02-04 15:00:00
O20100,L10320,A13,2024-11-08 01:00:00,Proposal Sent,17815.59,2024-12-23 01:00:00
O20101,L10688,A36,2024-10-26 10:00:00,Negotiation,24751.25,2024-12-16 10:00:00
O20102,L10747,A34,2024-09-18 04:00:00,Closed Won,38906.1,2024-11-16 04:00:00
O20103,L10629,A36,2024-11-22 18:00:00,Demo Scheduled,9318.92,2025-03-02 18:00:00
O20104,L10175,A66,2024-11-19 22:00:00,Demo Scheduled,6230.76,2024-12-24 22:00:00
O20105,L10006,A69,2024-11-06 07:00:00,Demo Scheduled,5299.93,2024-12-09 07:00:00
O20106,L10055,A27,2024-10-24 23:00:00,Proposal Sent,47381.27,2025-02-04 23:00:00
O20107,L10779,A94,2024-11-06 14:00:00,Negotiation,28440.23,2025-02-02 14:00:00
O20108,L10255,A15,2024-09-14 21:00:00,Closed Lost,36784.5,2024-10-29 21:00:00
O20109,L10590,A56,2024-11-06 19:00:00,Negotiation,16837.54,2024-12-23 19:00:00
O20110,L10616,A94,2024-10-20 18:00:00,Closed Lost,10240.82,2025-01-03 18:00:00
O20111,L10098,A11,2024-10-05 04:00:00,Closed Lost,40699.41,2024-11-13 04:00:00
O20112,L10395,A21,2024-09-14 14:00:00,Closed Won,20090.17,2024-12-11 14:00:00
O20113,L10077,A95,2024-10-10 17:00:00,Closed Won,35243.67,2024-11-18 17:00:00
O20114,L10614,A89,2024-10-27 00:00:00,Proposal Sent,45152.26,2024-11-30 00:00:00
O20115,L10645,A13,2024-09-24 08:00:00,Closed Lost,40738.88,2024-12-03 08:00:00
O20116,L10794,A72,2024-10-30 21:00:00,Closed Lost,42693.58,2025-02-17 21:00:00
O20117,L10337,A82,2024-10-02 06:00:00,Closed Lost,5358.68,2024-11-18 06:00:00
O20118,L10623,A49,2024-10-03 06:00:00,Demo Scheduled,35300.64,2024-12-05 06:00:00
O20119,L10445,A20,2024-09-20 01:00:00,Negotiation,41624.1,2024-12-22 01:00:00
O20120,L10760,A17,2024-10-08 09:00:00,Demo Scheduled,33564.77,2024-11-18 09:00:00
O20121,L10085,A93,2024-11-02 03:00:00,Closed Lost,14638.51,2025-01-26 03:00:00
O20122,L10011,A63,2024-10-14 06:00:00,Closed Won,32504.77,2025-02-11 06:00:00
O20123,L10232,A5,2024-10-10 01:00:00,Negotiation,35959.17,2025-01-26 01:00:00
O20124,L10111,A81,2024-10-04 15:00:00,Closed Won,15562.21,2024-12-17 15:00:00
O20125,L10297,A68,2024-10-21 16:00:00,Closed Lost,47945.08,2024-12-28 16:00:00
O20126,L10694,A30,2024-10-15 20:00:00,Proposal Sent,35058.91,2025-01-15 20:00:00
O20127,L10293,A81,2024-10-16 17:00:00,Negotiation,31902.89,2025-01-23 17:00:00
O20128,L10814,A38,2024-11-20 22:00:00,Qualified,14851.87,2025-01-25 22:00:00
O20129,L10332,A58,2024-10-05 02:00:00,Proposal Sent,16132.83,2024-12-28 02:00:00
O20130,L10119,A23,2024-10-19 09:00:00,Negotiation,48034.2,2025-02-10 09:00:00
O20131,L10659,A45,2024-10-21 23:00:00,Closed Lost,22914.02,2024-12-06 23:00:00
O20132,L10624,A62,2024-10-01 12:00:00,Negotiation,32047.65,2025-01-26 12:00:00
O20133,L10030,A4,2024-10-19 16:00:00,Proposal Sent,17056.57,2024-12-15 16:00:00
O20134,L10502,A53,2024-10-02 20:00:00,Qualified,30301.58,2024-12-12 20:00:00
O20135,L10454,A87,2024-09-14 03:00:00,Proposal Sent,23505.31,2024-12-09 03:00:00
O20136,L10423,A52,2024-09-26 09:00:00,Proposal Sent,46056.59,2024-11-29 09:00:00
O20137,L10418,A94,2024-10-31 21:00:00,Demo Scheduled,20292.87,2024-12-05 21:00:00
O20138,L10082,A58,2024-09-26 18:00:00,Negotiation,14958.95,2024-11-16 18:00:00
O20139,L10421,A27,2024-10-30 16:00:00,Closed Lost,9964.2,2025-02-15 16:00:00
O20140,L10317,A43,2024-11-15 13:00:00,Demo Scheduled,32223.25,2024-12-17 13:00:00
O20141,L10524,A3,2024-11-13 15:00:00,Negotiation,9061.37,2025-03-13 15:00:00
O20142,L10606,A46,2024-10-10 11:00:00,Closed Won,7855.92,2024-11-15 11:00:00
O20143,L10711,A27,2024-11-05 08:00:00,Proposal Sent,29096.27,2024-12-25 08:00:00
O20144,L10330,A69,2024-10-16 22:00:00,Negotiation,43687.53,2024-12-14 22:00:00
O20145,L10668,A21,2024-11-06 01:00:00,Proposal Sent,19917.6,2025-01-02 01:00:00
O20146,L10429,A94,2024-10-07 01:00:00,Demo Scheduled,47300.62,2024-11-10 01:00:00
O20147,L10538,A3,2024-10-19 14:00:00,Closed Won,9613.43,2025-01-07 14:00:00
O20148,L10691,A63,2024-10-04 01:00:00,Qualified,12062.55,2024-12-11 01:00:00
O20149,L10530,A30,2024-09-16 04:00:00,Closed Lost,39758.52,2024-11-16 04:00:00
O20150,L10678,A35,2024-09-09 23:00:00,Closed Lost,10563.93,2024-11-26 23:00:00
O20151,L10008,A52,2024-10-10 23:00:00,Demo Scheduled,41823.31,2024-12-13 23:00:00
O20152,L10749,A11,2024-10-01 05:00:00,Qualified,8325.06,2025-01-29 05:00:00
O20153,L10740,A94,2024-10-03 20:00:00,Negotiation,5906.94,2025-01-10 20:00:00
O20154,L10102,A20,2024-10-26 16:00:00,Qualified,38114.3,2025-01-14 16:00:00
O20155,L10362,A78,2024-09-24 19:00:00,Proposal Sent,40314.73,2024-12-17 19:00:00
O20156,L10353,A96,2024-11-08 14:00:00,Qualified,18596.93,2025-02-04 14:00:00
O20157,L10534,A13,2024-09-18 06:00:00,Proposal Sent,48616.81,2024-12-30 06:00:00
O20158,L10406,A49,2024-09-30 19:00:00,Proposal Sent,24329.06,2024-11-27 19:00:00
O20159,L10003,A72,2024-10-04 04:00:00,Proposal Sent,26750.73,2025-01-31 04:00:00
O20160,L10742,A65,2024-10-09 08:00:00,Demo Scheduled,22208.38,2025-01-10 08:00:00
O20161,L10433,A51,2024-10-27 23:00:00,Proposal Sent,39321.52,2024-12-09 23:00:00
O20162,L10823,A29,2024-11-16 03:00:00,Closed Won,48883.58,2025-02-04 03:00:00
O20163,L10193,A30,2024-11-02 05:00:00,Negotiation,21641.97,2025-02-12 05:00:00
O20164,L10358,A83,2024-09-29 10:00:00,Proposal Sent,19959.6,2025-01-17 10:00:00
O20165,L10649,A13,2024-10-19 21:00:00,Closed Won,12616.51,2025-01-19 21:00:00
O20166,L10773,A32,2024-10-03 10:00:00,Qualified,11359.88,2025-01-19 10:00:00
O20167,L10531,A61,2024-10-07 23:00:00,Closed Won,37536.46,2025-01-17 23:00:00
O20168,L10676,A30,2024-10-22 18:00:00,Qualified,39533.38,2024-12-23 18:00:00
O20169,L10347,A40,2024-10-13 08:00:00,Closed Lost,20204.08,2024-12-01 08:00:00
O20170,L10698,A42,2024-09-16 00:00:00,Closed Lost,30439.06,2024-12-07 00:00:00
O20171,L10600,A1,2024-11-11 03:00:00,Proposal Sent,36067.88,2025-02-20 03:00:00
O20172,L10303,A63,2024-10-12 13:00:00,Closed Won,27491.7,2025-02-02 13:00:00
O20173,L10653,A42,2024-11-07 21:00:00,Negotiation,36899.07,2025-02-10 21:00:00
O20174,L10080,A95,2024-09-23 22:00:00,Closed Lost,8664.54,2024-11-05 22:00:00
O20175,L10149,A90,2024-10-29 03:00:00,Qualified,21905.87,2024-11-29 03:00:00
O20176,L10767,A67,2024-09-13 08:00:00,Closed Lost,10466.5,2024-11-07 08:00:00
O20177,L10197,A15,2024-10-01 23:00:00,Qualified,44847.63,2025-01-02 23:00:00
O20178,L10680,A81,2024-09-11 19:00:00,Closed Won,26923.7,2024-12-20 19:00:00
O20179,L10339,A52,2024-10-06 08:00:00,Qualified,18353.8,2024-12-30 08:00:00
O20180,L10787,A93,2024-10-04 19:00:00,Closed Lost,17199.84,2024-12-14 19:00:00
O20181,L10324,A48,2024-11-12 22:00:00,Closed Won,34259.93,2024-12-30 22:00:00
O20182,L10199,A67,2024-09-30 20:00:00,Closed Lost,14200.78,2025-01-16 20:00:00
O20183,L10134,A48,2024-11-11 11:00:00,Closed Won,32203.3,2025-02-09 11:00:00
O20184,L10550,A27,2024-10-23 01:00:00,Proposal Sent,46718.58,2024-12-09 01:00:00
O20185,L10228,A68,2024-09-21 20:00:00,Closed Lost,42323.36,2024-10-22 20:00:00
O20186,L10507,A54,2024-10-26 17:00:00,Demo Scheduled,11765.71,2024-12-03 17:00:00
O20187,L10056,A40,2024-09-22 01:00:00,Closed Lost,13445.35,2025-01-18 01:00:00
O20188,L10488,A69,2024-09-08 15:00:00,Negotiation,19896.58,2024-10-15 15:00:00
O20189,L10652,A60,2024-10-23 21:00:00,Closed Won,12040.39,2025-01-05 21:00:00
O20190,L10612,A72,2024-09-25 18:00:00,Demo Scheduled,20523.09,2024-10-26 18:00:00
O20191,L10405,A36,2024-10-16 21:00:00,Proposal Sent,41933.95,2025-01-08 21:00:00
O20192,L10670,A94,2024-10-01 09:00:00,Proposal Sent,21527.37,2024-12-21 09:00:00
O20193,L10553,A72,2024-09-18 05:00:00,Closed Won,33871.97,2024-11-12 05:00:00
O20194,L10210,A76,2024-10-24 15:00:00,Demo Scheduled,9633.93,2024-12-20 15:00:00
O20195,L10310,A23,2024-09-20 14:00:00,Proposal Sent,30364.69,2024-11-05 14:00:00
O20196,L10666,A67,2024-10-10 12:00:00,Closed Won,34017.36,2024-12-28 12:00:00
O20197,L10061,A74,2024-10-05 13:00:00,Closed Won,32214.88,2025-01-21 13:00:00
O20198,L10596,A61,2024-10-07 20:00:00,Demo Scheduled,12564.47,2024-12-05 20:00:00
O20199,L10394,A12,2024-11-04 04:00:00,Closed Won,11592.12,2024-12-25 04:00:00
O20200,L10364,A1,2024-10-22 03:00:00,Proposal Sent,8500.43,2024-11-27 03:00:00
O20201,L10583,A66,2024-10-25 00:00:00,Negotiation,24143.26,2025-01-23 00:00:00
O20202,L10463,A39,2024-11-03 21:00:00,Closed Won,39200.33,2025-01-02 21:00:00
O20203,L10594,A51,2024-11-11 01:00:00,Negotiation,39826.38,2025-03-11 01:00:00
O20204,L10759,A46,2024-10-10 20:00:00,Proposal Sent,42739.22,2024-12-19 20:00:00
O20205,L10588,A11,2024-11-06 07:00:00,Closed Won,42898.6,2024-12-27 07:00:00
O20206,L10214,A36,2024-11-10 08:00:00,Closed Lost,11429.78,2025-02-03 08:00:00
O20207,L10312,A57,2024-11-05 16:00:00,Negotiation,36279.49,2025-01-06 16:00:00
O20208,L10797,A16,2024-10-02 01:00:00,Closed Won,45489.3,2025-01-23 01:00:00
O20209,L10091,A23,2024-09-26 04:00:00,Qualified,43976.23,2024-12-24 04:00:00
O20210,L10778,A86,2024-10-14 21:00:00,Proposal Sent,37782.12,2024-12-10 21:00:00
O20211,L10182,A72,2024-10-18 10:00:00,Demo Scheduled,22210.58,2024-12-09 10:00:00
O20212,L10765,A2,2024-10-28 01:00:00,Demo Scheduled,24893.63,2025-02-02 01:00:00
O20213,L10381,A1,2024-10-20 09:00:00,Closed Won,18967.58,2024-12-01 09:00:00
O20214,L10665,A33,2024-10-29 23:00:00,Closed Won,46470.38,2025-02-13 23:00:00
O20215,L10159,A5,2024-10-14 09:00:00,Closed Lost,17372.81,2025-01-13 09:00:00
O20216,L10070,A6,2024-10-14 05:00:00,Closed Lost,36691.9,2024-12-18 05:00:00
O20217,L10589,A8,2024-10-31 20:00:00,Closed Won,42049.66,2025-01-29 20:00:00
O20218,L10132,A81,2024-11-14 10:00:00,Negotiation,27063.52,2025-02-12 10:00:00
O20219,L10045,A83,2024-11-10 09:00:00,Closed Won,41334.38,2024-12-14 09:00:00
O20220,L10282,A4,2024-10-29 03:00:00,Closed Won,45241.93,2024-12-17 03:00:00
O20221,L10071,A95,2024-10-07 02:00:00,Demo Scheduled,44191.09,2024-11-22 02:00:00
O20222,L10674,A54,2024-09-12 03:00:00,Qualified,7522.16,2025-01-01 03:00:00
O20223,L10568,A8,2024-09-26 03:00:00,Proposal Sent,9386.4,2025-01-03 03:00:00
O20224,L10327,A25,2024-10-21 05:00:00,Closed Lost,32630.17,2024-11-22 05:00:00
O20225,L10424,A87,2024-11-08 14:00:00,Proposal Sent,45398.14,2024-12-29 14:00:00
O20226,L10136,A93,2024-09-24 04:00:00,Proposal Sent,28235.32,2025-01-17 04:00:00
O20227,L10083,A54,2024-10-28 00:00:00,Closed Lost,35133.85,2024-12-05 00:00:00
O20228,L10166,A98,2024-10-06 01:00:00,Closed Won,11638.13,2024-12-09 01:00:00
O20229,L10165,A23,2024-10-05 17:00:00,Negotiation,7002.88,2025-01-20 17:00:00
O20230,L10029,A89,2024-10-05 21:00:00,Closed Won,23416.32,2025-01-24 21:00:00
O20231,L10427,A1,2024-10-30 19:00:00,Proposal Sent,17319.34,2025-01-12 19:00:00
O20232,L10194,A44,2024-10-03 21:00:00,Negotiation,30567.8,2025-01-30 21:00:00
O20233,L10726,A73,2024-10-25 09:00:00,Negotiation,8967.29,2024-12-05 09:00:00
O20234,L10539,A94,2024-09-13 01:00:00,Qualified,13354.65,2024-12-27 01:00:00
O20235,L10334,A3,2024-09-26 15:00:00,Demo Scheduled,40493.15,2024-11-22 15:00:00
O20236,L10137,A48,2024-10-15 16:00:00,Negotiation,8657.37,2024-12-15 16:00:00
O20237,L10829,A88,2024-10-03 23:00:00,Closed Lost,47419.58,2024-11-26 23:00:00
O20238,L10435,A97,2024-10-26 21:00:00,Closed Lost,10973.07,2024-12-01 21:00:00
O20239,L10141,A91,2024-10-01 08:00:00,Proposal Sent,13010.18,2024-11-17 08:00:00
O20240,L10495,A41,2024-11-08 05:00:00,Negotiation,15168.22,2025-01-01 05:00:00
O20241,L10007,A26,2024-09-29 02:00:00,Demo Scheduled,49067.52,2024-12-01 02:00:00
O20242,L10543,A57,2024-09-26 06:00:00,Proposal Sent,9158.54,2024-12-10 06:00:00
O20243,L10790,A47,2024-10-03 07:00:00,Proposal Sent,39756.67,2025-01-07 07:00:00
O20244,L10236,A81,2024-09-29 19:00:00,Closed Lost,42427.87,2024-11-02 19:00:00
O20245,L10651,A75,2024-11-14 04:00:00,Negotiation,12006.69,2025-02-24 04:00:00
O20246,L10074,A90,2024-10-29 07:00:00,Negotiation,20611.47,2025-02-23 07:00:00
O20247,L10672,A37,2024-11-13 11:00:00,Demo Scheduled,20398.15,2025-02-15 11:00:00
O20248,L10276,A96,2024-11-16 13:00:00,Proposal Sent,9084.09,2025-01-11 13:00:00
O20249,L10466,A28,2024-11-08 09:00:00,Negotiation,16738.07,2024-12-22 09:00:00
O20250,L10146,A85,2024-10-16 05:00:00,Closed Lost,13389.15,2024-12-02 05:00:00
O20251,L10307,A76,2024-09-29 20:00:00,Proposal Sent,21752.72,2024-12-16 20:00:00
O20252,L10235,A76,2024-11-14 11:00:00,Qualified,19506.74,2024-12-27 11:00:00
O20253,L10221,A46,2024-11-10 02:00:00,Qualified,12143.77,2025-02-08 02:00:00
O20254,L10821,A44,2024-11-09 22:00:00,Closed Lost,45634.09,2025-01-01 22:00:00
O20255,L10333,A40,2024-11-01 07:00:00,Demo Scheduled,26007.86,2024-12-24 07:00:00
O20256,L10133,A3,2024-10-30 14:00:00,Negotiation,41414.96,2025-01-26 14:00:00
O20257,L10397,A74,2024-11-14 19:00:00,Closed Lost,24573.58,2025-02-03 19:00:00
O20258,L10328,A32,2024-10-26 06:00:00,Proposal Sent,37551.76,2025-02-09 06:00:00
O20259,L10446,A62,2024-10-31 18:00:00,Closed Lost,23051.89,2024-12-05 18:00:00
O20260,L10042,A98,2024-11-03 02:00:00,Closed Won,9853.49,2025-01-26 02:00:00
O20261,L10515,A35,2024-11-01 13:00:00,Closed Won,23033.76,2024-12-04 13:00:00
O20262,L10109,A66,2024-11-02 03:00:00,Demo Scheduled,46505.91,2025-02-16 03:00:00
O20263,L10361,A68,2024-11-20 01:00:00,Demo Scheduled,47817.22,2025-03-02 01:00:00
O20264,L10057,A18,2024-10-05 17:00:00,Demo Scheduled,34853.29,2024-11-10 17:00:00
O20265,L10434,A40,2024-09-30 21:00:00,Demo Scheduled,41067.03,2024-12-27 21:00:00
O20266,L10295,A22,2024-09-30 06:00:00,Negotiation,5037.94,2024-11-17 06:00:00
O20267,L10430,A23,2024-10-19 08:00:00,Proposal Sent,18838.7,2024-12-11 08:00:00
O20268,L10025,A27,2024-10-30 04:00:00,Negotiation,9057.51,2024-12-30 04:00:00
O20269,L10479,A88,2024-09-20 05:00:00,Closed Won,43055.08,2024-12-06 05:00:00
O20270,L10368,A62,2024-10-30 09:00:00,Demo Scheduled,20512.03,2025-01-28 09:00:00
O20271,L10383,A88,2024-09-30 13:00:00,Negotiation,36445.09,2024-12-29 13:00:00
O20272,L10052,A49,2024-10-03 08:00:00,Negotiation,36780.08,2024-11-14 08:00:00
O20273,L10661,A17,2024-10-27 05:00:00,Proposal Sent,39336.99,2024-12-13 05:00:00
O20274,L10762,A99,2024-09-19 09:00:00,Proposal Sent,45410.96,2025-01-13 09:00:00
O20275,L10265,A55,2024-11-09 00:00:00,Closed Won,22723.27,2024-12-18 00:00:00
O20276,L10546,A63,2024-09-17 15:00:00,Closed Lost,38319.31,2024-12-31 15:00:00
O20277,L10577,A29,2024-10-02 02:00:00,Closed Won,13017.2,2024-12-01 02:00:00
O20278,L10351,A47,2024-10-31 00:00:00,Proposal Sent,27565.52,2024-11-30 00:00:00
O20279,L10300,A77,2024-10-17 21:00:00,Negotiation,46156.37,2025-02-06 21:00:00
O20280,L10019,A18,2024-09-20 06:00:00,Negotiation,13458.67,2024-11-16 06:00:00
O20281,L10604,A56,2024-10-13 08:00:00,Qualified,20281.4,2025-02-03 08:00:00
O20282,L10287,A55,2024-09-22 19:00:00,Demo Scheduled,17823.39,2024-12-10 19:00:00
O20283,L10084,A62,2024-10-23 11:00:00,Qualified,16745.88,2025-01-14 11:00:00
O20284,L10062,A21,2024-10-21 17:00:00,Negotiation,35705.29,2024-12-03 17:00:00
